,Stato fondo stradale,Tipo di strada,Condizioni traffico,Data incidente,Stagione
354,Asciutto,Strada Urbana,Intenso,2023-02-15,Inverno
355,Asciutto,Strada Urbana,Normale,2023-02-15,Inverno
356,Asciutto,Strada Urbana,Normale,2023-02-15,Inverno
357,Asciutto,Strada Urbana,Scarso,2023-02-15,Inverno
358,Asciutto,Strada Urbana,Scarso,2023-02-15,Inverno
359,Asciutto,Strada Urbana,Scarso,2023-02-15,Inverno
360,Asciutto,Strada Urbana,Scarso,2023-02-15,Inverno
361,Asciutto,Strada Urbana,Normale,2023-02-15,Inverno
362,Asciutto,Strada Urbana,Normale,2023-02-15,Inverno
363,Asciutto,Strada Urbana,Intenso,2023-02-15,Inverno
364,Asciutto,Strada Urbana,Normale,2023-02-15,Inverno
365,Asciutto,Strada Urbana,Scarso,2023-02-15,Inverno
366,Asciutto,Strada Urbana,Normale,2023-02-16,Inverno
367,Asciutto,Strada Urbana,Intenso,2023-02-16,Inverno
368,Asciutto,Strada Urbana,Intenso,2023-02-16,Inverno
369,Asciutto,Strada Urbana,Normale,2023-02-16,Inverno
370,Asciutto,Strada Urbana,Normale,2023-02-16,Inverno
371,Asciutto,Strada Urbana,Scarso,2023-02-16,Inverno
372,Asciutto,Strada Urbana,Normale,2023-02-16,Inverno
373,Asciutto,Strada Urbana,Scarso,2023-02-16,Inverno
374,Asciutto,Strada Urbana,Scarso,2023-02-16,Inverno
375,Asciutto,Strada Urbana,Normale,2023-02-17,Inverno
376,Asciutto,Strada Urbana,Normale,2023-02-17,Inverno
377,Asciutto,Strada Urbana,Intenso,2023-02-17,Inverno
378,Asciutto,Strada Urbana,Normale,2023-02-17,Inverno
379,Asciutto,Strada Urbana,Normale,2023-02-17,Inverno
380,Asciutto,Strada Urbana,Intenso,2023-02-17,Inverno
381,Asciutto,Strada Urbana,Scarso,2023-02-17,Inverno
382,Asciutto,Strada Urbana,Normale,2023-02-17,Inverno
383,Asciutto,Strada Urbana,Scarso,2023-02-18,Inverno
384,Asciutto,Strada Urbana,Scarso,2023-02-18,Inverno
385,Asciutto,Strada Urbana,Scarso,2023-02-18,Inverno
386,Asciutto,Strada Urbana,Normale,2023-02-18,Inverno
387,Asciutto,Strada Urbana,Normale,2023-02-18,Inverno
388,Asciutto,Strada Urbana,Normale,2023-02-18,Inverno
389,Asciutto,Strada extraurbana,Scarso,2023-02-18,Inverno
390,Asciutto,Strada extraurbana,Normale,2023-02-18,Inverno
391,Asciutto,Strada Urbana,Scarso,2023-02-18,Inverno
392,Asciutto,Strada Urbana,Intenso,2023-02-18,Inverno
393,Asciutto,Strada Urbana,Scarso,2023-02-18,Inverno
394,Asciutto,Strada Urbana,Scarso,2023-02-19,Inverno
395,Asciutto,Strada Urbana,Scarso,2023-02-19,Inverno
396,Asciutto,Strada Urbana,Scarso,2023-02-19,Inverno
397,Asciutto,Strada Urbana,Normale,2023-02-19,Inverno
398,Asciutto,Strada Urbana,Intenso,2023-02-19,Inverno
399,Asciutto,Strada Urbana,Normale,2023-02-19,Inverno
400,Asciutto,Strada extraurbana,Scarso,2023-02-20,Inverno
401,Asciutto,Strada Urbana,Normale,2023-02-20,Inverno
402,Asciutto,Strada Urbana,Normale,2023-02-20,Inverno
403,Asciutto,Strada Urbana,Normale,2023-02-20,Inverno
404,Asciutto,Strada Urbana,Scarso,2023-02-20,Inverno
405,Asciutto,Strada Urbana,Normale,2023-02-20,Inverno
406,Asciutto,Strada Urbana,Normale,2023-02-20,Inverno
407,Asciutto,Strada Urbana,Scarso,2023-02-20,Inverno
408,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
409,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
410,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
411,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
412,Asciutto,Strada Urbana,Scarso,2023-02-21,Inverno
413,Asciutto,Strada extraurbana,Intenso,2023-02-21,Inverno
414,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
415,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
416,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
417,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
418,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
419,Asciutto,Strada Urbana,Normale,2023-02-21,Inverno
420,Asciutto,Strada Urbana,Scarso,2023-02-21,Inverno
421,Asciutto,Strada Urbana,Scarso,2023-02-21,Inverno
422,Asciutto,Strada extraurbana,Normale,2023-02-22,Inverno
423,Asciutto,Strada Urbana,Scarso,2023-02-22,Inverno
424,Asciutto,Strada Urbana,Scarso,2023-02-22,Inverno
425,Asciutto,Strada Urbana,Normale,2023-02-22,Inverno
