data;temperatura_min;temperatura_media;temperatura_max;flag_t;umr_min;umr_media;umr_max;flag_umr;precipitazione;flag_prec;vvento_media;vvento_max;flag_vv;dvento;dvento_set;flag_dv;radsolare_media;radsolare_max;flag_rad;pressione;flag_pres;
2023-01-03 07:00:00;10.59;10.70;10.76;1;95.11;95.52;95.83;1;0.00;1;2.27;3.59;1;314.91;315.00;1;0.00;0.00;1;1019.03;1;
2023-01-03 07:30:00;10.75;10.87;11.05;1;92.49;94.02;95.35;1;0.00;1;1.62;2.66;1;306.46;315.00;1;0.00;0.00;1;1019.16;1;
2023-01-03 08:00:00;10.99;11.09;11.15;1;89.76;90.89;92.67;1;0.00;1;1.81;3.03;1;303.83;315.00;1;0.00;0.00;1;1019.29;1;
2023-01-03 08:30:00;11.01;11.09;11.19;1;87.84;88.63;89.62;1;0.00;1;2.24;3.41;1;320.05;315.00;1;0.00;0.00;1;1019.40;1;
2023-01-03 09:00:00;10.99;11.19;11.46;1;86.37;87.48;88.20;1;0.00;1;1.51;3.02;1;343.35;337.50;1;0.00;0.00;1;1019.65;1;
2023-01-03 09:30:00;11.32;11.50;11.64;1;84.88;85.64;86.26;1;0.00;1;1.62;3.40;1;352.29;337.50;1;24.46;39.46;1;1019.92;1;
2023-01-03 10:00:00;11.46;11.66;12.08;1;85.37;86.10;86.67;1;0.00;1;1.92;3.57;1;345.24;337.50;1;63.34;76.88;1;1020.02;1;
2023-01-03 10:30:00;11.68;11.91;12.15;1;85.67;87.09;88.50;1;0.00;1;2.84;4.14;1;19.29;22.50;1;51.60;77.32;1;1020.15;1;
2023-01-03 11:00:00;11.43;11.58;11.82;1;88.23;89.38;89.94;1;0.00;1;3.41;4.87;1;29.06;22.50;1;37.94;57.67;1;1020.04;1;
2023-01-03 11:30:00;11.42;11.56;11.67;1;89.50;90.17;90.72;1;0.00;1;2.56;3.78;1;44.01;45.00;1;61.91;90.87;1;1019.79;1;
2023-01-03 12:00:00;11.51;11.66;11.80;1;89.31;89.89;91.33;1;0.00;1;1.87;2.85;1;41.20;45.00;1;150.67;177.60;1;1019.42;1;
2023-01-03 12:30:00;11.79;12.15;12.66;1;85.42;88.71;90.22;1;0.00;1;1.91;2.85;1;47.87;45.00;1;217.54;454.76;1;1019.13;1;
2023-01-03 13:00:00;12.55;12.74;12.93;1;84.91;85.77;86.75;1;0.00;1;2.04;2.83;1;38.16;45.00;1;326.24;450.88;1;1018.85;1;
2023-01-03 13:30:00;12.89;13.18;13.43;1;75.84;80.63;84.92;1;0.00;1;2.67;4.51;1;34.74;45.00;1;370.74;400.47;1;1018.50;1;
2023-01-03 14:00:00;13.09;13.36;13.50;1;72.98;74.28;76.41;1;0.00;1;3.97;5.42;1;30.49;22.50;1;197.76;381.81;1;1018.27;1;
2023-01-03 14:30:00;12.81;12.93;13.06;1;75.95;77.54;79.33;1;0.00;1;4.74;6.16;1;27.10;22.50;1;110.35;268.10;1;1018.29;1;
2023-01-03 15:00:00;12.71;12.83;13.00;1;76.81;78.81;79.57;1;0.00;1;4.52;6.16;1;24.71;22.50;1;145.13;201.36;1;1018.26;1;
2023-01-03 15:30:00;12.94;13.20;13.36;1;72.19;73.46;76.13;1;0.00;1;2.92;4.31;1;5.53;0.00;1;30.40;126.29;1;1018.24;1;
2023-01-03 16:00:00;13.24;13.39;13.62;1;72.48;73.45;74.49;1;0.00;1;2.12;3.77;1;339.97;337.50;1;35.60;74.11;1;1018.19;1;
2023-01-03 16:30:00;13.16;13.39;13.59;1;72.01;72.50;72.90;1;0.00;1;2.01;3.21;1;325.89;315.00;1;0.00;0.00;1;1018.28;1;
2023-01-03 17:00:00;12.66;12.99;13.23;1;73.06;75.92;79.91;1;0.00;1;1.87;2.86;1;353.21;0.00;1;0.00;0.00;1;1018.35;1;
2023-01-03 17:30:00;12.39;12.53;12.66;1;80.01;80.94;81.82;1;0.00;1;2.33;3.77;1;3.06;0.00;1;0.00;0.00;1;1018.48;1;
2023-01-03 18:00:00;12.34;12.40;12.47;1;80.99;81.41;81.93;1;0.00;1;2.58;3.92;1;1.62;0.00;1;0.00;0.00;1;1018.75;1;
2023-01-03 18:30:00;12.08;12.34;12.49;1;80.60;81.33;82.27;1;0.00;1;2.04;3.40;1;340.70;337.50;1;0.00;0.00;1;1018.87;1;
2023-01-03 19:00:00;11.65;11.85;12.11;1;82.41;83.57;84.23;1;0.00;1;2.52;3.57;1;333.89;337.50;1;0.00;0.00;1;1018.97;1;
2023-01-03 19:30:00;11.28;11.51;11.75;1;84.05;84.74;85.42;1;0.00;1;2.58;3.74;1;316.91;315.00;1;0.00;0.00;1;1018.93;1;
2023-01-03 20:00:00;11.05;11.20;11.36;1;85.25;85.85;86.48;1;0.00;1;2.50;3.77;1;306.09;315.00;1;0.00;0.00;1;1018.88;1;
2023-01-03 20:30:00;10.90;11.07;11.22;1;85.89;86.18;86.53;1;0.00;1;2.26;3.21;1;300.44;292.50;1;0.00;0.00;1;1018.82;1;
2023-01-03 21:00:00;10.26;10.58;10.95;1;84.35;85.12;85.89;1;0.00;1;2.61;3.41;1;292.41;292.50;1;0.00;0.00;1;1018.83;1;
2023-01-03 21:30:00;9.99;10.18;10.30;1;83.75;84.07;84.40;1;0.00;1;2.86;3.39;1;291.96;292.50;1;0.00;0.00;1;1018.73;1;
2023-01-03 22:00:00;9.85;9.96;10.20;1;83.55;84.49;84.87;1;0.00;1;2.94;3.39;1;292.56;292.50;1;0.00;0.00;1;1018.65;1;
2023-01-03 22:30:00;9.81;10.04;10.22;1;81.96;82.57;83.53;1;0.00;1;2.99;3.41;1;291.60;292.50;1;0.00;0.00;1;1018.54;1;
2023-01-03 23:00:00;9.71;9.89;10.20;1;80.76;82.35;83.04;1;0.00;1;3.07;3.59;1;299.25;292.50;1;0.00;0.00;1;1018.53;1;
2023-01-03 23:30:00;10.26;10.45;10.73;1;77.07;78.65;79.94;1;0.00;1;2.62;3.21;1;309.50;315.00;1;0.00;0.00;1;1018.62;1;
2023-01-04 00:00:00;10.53;10.70;10.81;1;75.09;76.68;78.32;1;0.00;1;2.36;3.02;1;321.87;315.00;1;0.00;0.00;1;1018.61;1;
2023-01-04 00:30:00;10.60;10.90;11.17;1;75.74;77.93;79.76;1;0.00;1;2.63;3.59;1;335.12;337.50;1;0.00;0.00;1;1018.51;1;
2023-01-04 01:00:00;10.75;10.90;11.05;1;76.93;78.63;80.91;1;0.00;1;3.29;4.30;1;331.40;337.50;1;0.00;0.00;1;1018.43;1;
2023-01-04 01:30:00;10.29;10.76;11.12;1;77.35;78.68;80.13;1;0.00;1;3.40;4.32;1;325.53;315.00;1;0.00;0.00;1;1018.34;1;
2023-01-04 02:00:00;9.95;10.14;10.32;1;77.27;78.97;80.35;1;0.00;1;2.98;3.95;1;309.22;315.00;1;0.00;0.00;1;1018.38;1;
2023-01-04 02:30:00;9.69;9.80;9.92;1;77.13;78.52;79.89;1;0.00;1;2.89;3.59;1;304.26;292.50;1;0.00;0.00;1;1018.36;1;
2023-01-04 03:00:00;9.77;10.07;10.27;1;75.25;77.16;79.99;1;0.00;1;2.85;4.32;1;315.02;315.00;1;0.00;0.00;1;1018.33;1;
2023-01-04 03:30:00;9.75;9.92;10.10;1;76.37;77.42;78.48;1;0.00;1;2.92;3.96;1;310.15;315.00;1;0.00;0.00;1;1018.16;1;
